"Entrez1"	"Entrez2"	"R"	"P"	"FDR"
4537	5950	0.752747237682343	0.00298223429410616	0.0278243532386253
4536	5950	0.741758227348328	0.00370131475905877	0.0312712871541
2512	9168	0.796703279018402	0.00111365314443534	0.0160772050651902
4538	9168	-0.862637341022491	0.000147447980680671	0.00502113610359505
4512	9168	-0.730769217014313	0.00454773488915028	0.0354313512953198
4508	9168	-0.879120886325836	7.54455999461001e-05	0.00354719682526037
4514	9168	-0.730769217014313	0.00454773488915028	0.0354313512953198
4513	9168	-0.868131875991821	0.00011910252263303	0.00447713287071626
4519	9168	-0.906593382358551	1.92961786174006e-05	0.00160586513226362
4537	9168	-0.774725258350372	0.00187136218718464	0.0213277730048049
4535	9168	-0.780219793319702	0.00165250016070395	0.0201465207606387
4541	9168	-0.725274741649628	0.00502323618349787	0.0376470566364968
4536	9168	-0.917582392692566	9.90624128682782e-06	0.00104519240695768
4539	9168	-0.868131875991821	0.00011910252263303	0.00447713287071626
3240	9168	-0.796703279018402	0.00111365314443534	0.0160772050651902
4540	9168	-0.824175834655762	0.000530222675120484	0.0108502174642505
4509	9168	-0.758241772651672	0.0026660778187042	0.0259398787455981
6288	2266	0.857142865657806	0.000180934032513846	0.00564851731393528
2244	2266	0.901098906993866	2.61386137656583e-05	0.00197947531254529
2243	2266	0.967032968997955	7.06411160678044e-08	2.68134724098831e-05
3240	2266	0.725274741649628	0.00502323618349787	0.0376470566364968
348	2266	-0.791208803653717	0.00127502351658704	0.0174286811391179
4495	4490	0.812167108058929	0.000744042160901959	0.0131282949308806
213	259	0.697802186012268	0.00800071892511389	0.0494092016952718
4514	259	0.708791196346283	0.00668178552834942	0.0444571557438811
345	259	0.813186824321747	0.000723607503004597	0.0128113103134346
4537	259	0.741758227348328	0.00370131475905877	0.0312712871541
5950	259	0.780219793319702	0.00165250016070395	0.0201465207606387
4536	350	0.714285731315613	0.00608830347139033	0.0421763733690238
5950	350	0.763736248016357	0.00237661558943913	0.0242293351527327
9168	350	-0.719780206680298	0.00553611704466928	0.0398500562015104
213	229	0.934065937995911	2.99870279008019e-06	0.000478639099185876
2512	229	-0.736263751983643	0.0041077081506331	0.0333296184015786
4512	229	0.780219793319702	0.00165250016070395	0.0201465207606387
4508	229	0.747252762317657	0.00332674039843095	0.0294747494737157
4514	229	0.769230782985687	0.00211222896756658	0.0226622290987624
4513	229	0.697802186012268	0.00800071892511389	0.0494092016952718
4519	229	0.730769217014313	0.00454773488915028	0.0354313512953198
4537	229	0.851648330688477	0.000220219578060732	0.0064119124107954
335	229	0.824175834655762	0.000530222675120484	0.0108502174642505
4535	229	0.752747237682343	0.00298223429410616	0.0278243532386253
4541	229	0.714285731315613	0.00608830347139033	0.0421763733690238
4536	229	0.791208803653717	0.00127502351658704	0.0174286811391179
4540	229	0.730769217014313	0.00454773488915028	0.0354313512953198
5950	229	0.835164844989777	0.000380207963134982	0.00902667647030993
9168	229	-0.703296720981598	0.007318567720624	0.0468704568527617
4495	4502	0.923076927661896	6.85168376524103e-06	0.000817082977751445
4536	4502	0.752747237682343	0.00298223429410616	0.0278243532386253
4490	4502	0.7016681432724	0.00751593339922896	0.0481245478401566
350	4502	0.840659320354462	0.000319071451182928	0.008107019524954
6288	1401	0.725274741649628	0.00502323618349787	0.0376470566364968
5004	1401	0.703296720981598	0.007318567720624	0.0468704568527617
100033819	1401	0.807692289352417	0.000839160418255158	0.0138930149032935
283120	1401	0.807692289352417	0.000839160418255158	0.0138930149032935
2244	1401	0.719780206680298	0.00553611704466928	0.0398500562015104
5265	2052	-0.862637341022491	0.000147447980680671	0.00502113610359505
100033819	2052	-0.928571403026581	4.60743610197767e-06	0.000620807137117121
283120	2052	-0.928571403026581	4.60743610197767e-06	0.000620807137117121
1401	2052	-0.758241772651672	0.0026660778187042	0.0259398787455981
335	2752	-0.703296720981598	0.007318567720624	0.0468704568527617
259	341	0.741758227348328	0.00370131475905877	0.0312712871541
2752	341	-0.868131875991821	0.00011910252263303	0.00447713287071626
7448	7018	0.736263751983643	0.0041077081506331	0.0333296184015786
4538	6206	-0.791208803653717	0.00127502351658704	0.0174286811391179
4512	6206	-0.813186824321747	0.000723607503004597	0.0128113103134346
4508	6206	-0.807692289352417	0.000839160418255158	0.0138930149032935
4514	6206	-0.796703279018402	0.00111365314443534	0.0160772050651902
4513	6206	-0.780219793319702	0.00165250016070395	0.0201465207606387
4519	6206	-0.769230782985687	0.00211222896756658	0.0226622290987624
345	6206	-0.741758227348328	0.00370131475905877	0.0312712871541
4535	6206	-0.774725258350372	0.00187136218718464	0.0213277730048049
4541	6206	-0.703296720981598	0.007318567720624	0.0468704568527617
4539	6206	-0.780219793319702	0.00165250016070395	0.0201465207606387
4540	6206	-0.780219793319702	0.00165250016070395	0.0201465207606387
4509	6206	-0.802197813987732	0.00096877861986111	0.0149643843886735
9168	6206	0.741758227348328	0.00370131475905877	0.0312712871541
2512	5005	-0.769230782985687	0.00211222896756658	0.0226622290987624
5004	5005	0.840659320354462	0.000319071451182928	0.008107019524954
4537	5005	0.857142865657806	0.000180934032513846	0.00564851731393528
335	5005	0.708791196346283	0.00668178552834942	0.0444571557438811
4535	5005	0.802197813987732	0.00096877861986111	0.0149643843886735
4541	5005	0.736263751983643	0.0041077081506331	0.0333296184015786
4536	5005	0.725274741649628	0.00502323618349787	0.0376470566364968
259	5005	0.714285731315613	0.00608830347139033	0.0421763733690238
213	5068	-0.839791834354401	0.000328165369325673	0.00831770938132049
2512	5068	0.834266901016235	0.000391025668774247	0.00926230893500643
336	5068	0.723767936229706	0.00516008667666901	0.038598341218775
5004	5068	-0.745867729187012	0.00341825862774403	0.0302082055049781
4537	5068	-0.767967522144318	0.00217087693482187	0.0232593957302344
335	5068	-0.723767936229706	0.00516008667666901	0.038598341218775
4535	5068	-0.70719313621521	0.00686243611842396	0.0455617159099714
4536	5068	-0.751392662525177	0.00306446820922268	0.028506148539168
229	5068	-0.784542381763458	0.00149483358212743	0.0191467881661384
213	102465978	-0.763736248016357	0.00237661558943913	0.0242293351527327
2512	102465978	0.906593382358551	1.92961786174006e-05	0.00160586513226362
4538	102465978	-0.730769217014313	0.00454773488915028	0.0354313512953198
4512	102465978	-0.697802186012268	0.00800071892511389	0.0494092016952718
4508	102465978	-0.714285731315613	0.00608830347139033	0.0421763733690238
4513	102465978	-0.714285731315613	0.00608830347139033	0.0421763733690238
4519	102465978	-0.725274741649628	0.00502323618349787	0.0376470566364968
4537	102465978	-0.862637341022491	0.000147447980680671	0.00502113610359505
335	102465978	-0.758241772651672	0.0026660778187042	0.0259398787455981
