ENTREZID	Normal	Normal	Normal	Normal	Normal	Normal	Cancer	Cancer	Cancer	Cancer	Cancer	Cancer	Cancer
105377105	0.239822953	0.084399237	0.122345108	0.170674647	0.188287021	0.250297492	0.040667542	0.278554498	0.074282215	0.100319533	0.447521453	0.072541328	0.257782423
105376992	0	0	0	0	0	0	0	0	0	0	0.031465292	0	0
105376955	0	0	0	0	0	0	0	0	0.025522254	0	0.062236861	0	0
105376946	0	0	0	0	0	0	0	0	0	0	0	0	0
105376912	0	0	0	0	0	0	0	0	0	0	0	0	0
105376854	0	0	0	0	0	0	0	0	0	0	0	0	0
105376843	0.556461264	0.651913002	0.77319236	0.569273622	0.418678994	0.534304114	8.448671399	5.092841651	1.224241943	4.312737515	1.492677221	2.551542754	1.847962001
105376805	2.106264306	4.962145244	6.675971482	5.815257049	2.978554888	3.618385292	0.763511372	3.577940732	9.698456609	5.940992067	4.901152766	23.01515119	6.460995752
105376736	0.144306186	0.184428577	0.089115869	0.131225594	0.217150672	0.069280104	0.281410286	0.142780353	0.302362527	0.192830196	0.331794457	1.09520672	0.266238306
105376672	0	0	0	0	0	0	0	0	0	0	0	0	0
105376671	0.016359585	0.020908147	0.015154221	0	0	0.035343403	0.041017743	0.048559815	0.030850187	0.013116369	0.0877674	0.015520061	0.045274027
105376633	0	0	0	0	0	0	0	0	0	0	0	0	0
105376617	0.139258439	0.076276016	0.036856563	0.027136157	0.059872819	0.028652883	0	0	0	0	0.030494141	0	0.066066543
105376609	0.014181906	0	0	0.019344587	0	0	0.023705157	0	0.017829077	0	0.021738397	0	0
105376606	0	0	0	0	0	0	0	0	0	0	0	0	0
105376599	0	0	0	0	0	0	0.030094955	0	0	0	0	0	0
105376594	0	0	0	0	0	0	0	0	0	0	0	0	0
105376575	5.597957014	3.318935246	3.2445904	3.821808667	4.222661192	3.853776085	4.3503219	8.320911974	10.20324112	7.213731557	15.20623976	7.382752581	4.49766627
105376557	0	0	0	0	0	0	0	0	0	0	0	0	0.021299065
105376554	0.023382139	0.019922152	0.021659359	0.031894008	0.011728412	0.011225555	0.006513902	0.005783727	0.078387576	0.112480395	0.017920378	0.02218224	0.021569488
105376527	0.548012966	0.500271847	0.676847653	0.462742885	0.392688125	0.488607052	2.660783895	0.580948399	0.820173656	1.046123333	1.000010284	0.792214308	1.097721017
105376490	0	0	0	0	0	0	0	0	0	0	0	0	0
105376480	0	0	0	0	0	0	0	0	0	0	0	0	0
105376468	0	0	0	0	0	0	0	0.070082664	0	0	0	0	0
105376430	0.10994757	0.070258505	0.084872256	0.024995351	0	0.01319621	0.199092991	0	0.04607429	0.029383649	0.098309469	0.139073869	0.192705822
105376421	0	0	0	0	0	0	0.056705231	0.050348861	0	0	0	0	0
105376382	0	0	0	0	0	0	0	0.082349644	0	0.059315343	0.141751816	0.035092707	0.163791945
105376365	0	0	0	0	0	0	0	0	0	0	0	0	0.026623831
105376310	0	0	0	0	0	0	0.087003988	0	0	0	0	0	0
105376276	0	0	0	0	0	0	0	0	0	0	0	0	0
105376171	0	0	0	0	0	0	0	0	0	0.217593653	0.069334046	0	0
105376116	0	0	0	0	0	0	0	0	0	0	0	0	0
105376114	1.534684836	1.990440804	1.200470913	1.953803294	1.26588246	2.406842143	1.38712795	0.978561642	5.588000787	3.736892766	2.073601572	1.272590289	1.912783713
105376111	0	0	0	0	0	0	0	0	0.024081176	0	0	0	0.063612362
105376108	0.005838475	0	0.0216332	0.015927744	0	0	0.009759052	0.051990672	0.02935984	0.037448183	0.017898735	0.033233175	0.038778188
105376100	0	0	0	0	0	0	0	0	0	0	0	0	0
105376072	0.014826167	0	0	0.01011169	0	0	0	0	0	0	0	0	0.00820608
105376064	0	0	0	0	0	0	0.019187879	0.102222087	0	0	0	0	0
105375972	0	0	0	0	0	0	0	0	0	0	0	0	0
105375968	0.091644687	0.078083505	0.509354209	0.041668791	0.183874819	0	0.153184746	0.226689186	0.11521302	0.048984353	0.046825126	0.173883531	0.101448151
105375929	0	0	0	0	0	0	0	0	0	0	0	0	0
105375903	0.012982228	0.033183524	0	0	0	0	0.043399774	0.173406954	0.097925265	0.062451351	0.099497499	0	0.04311291
105375875	0	0	0	0	0	0	0	0	0	0	0	0	0
105375844	0	0	0	0	0	0	0	0	0	0	0	0	0
105375843	0	0	0	0	0	0	0	0	0	0.28029013	0	0	0
105375800	0	0	0.013202351	0	0	0.010263719	0.023823093	0.126915869	0.00895889	0	0.054616372	0.554363895	0.03155417
105375750	0	0	0	0	0	0	0	0.044598059	0	0	0.04606108	0	0
105375747	0	0	0	0	0	0	0	0.060165306	0	0	0	0	0.044875388
105375744	0	0	0	0	0	0	0.104601882	0.18575308	0.078672968	0.050173294	0.047961658	0.059368002	0.034636828
105375732	0	0	0	0	0	0	0	0	0	0	0	0	0
105375700	0.127890403	0.130758885	0.094774019	0.348893445	0.153958678	0	0.213769718	0.037961443	0.225092103	0.082029353	0.196033762	0.048530986	0.254828093
105375680	0	0	0	0	0	0.04550752	0.316882171	0	0	0	0	0	0
105375679	0	0	0	0.017961419	0	0	0	0.01954297	0	0	0	0	0
105375666	0.915964528	0.953851655	0.81705181	0.555291463	0.612593475	0.879492693	1.644451686	1.359419254	1.108874783	3.971084171	2.600026739	2.252859437	1.20171564
105375650	0	0	0	0	0	0	0	0	0.022462414	0.007162646	0.006846917	0	0.004944689
105375645	0.121616534	0.124344298	0.135187092	0	0.073202994	0.070064407	0.447222384	0.180495918	0.152892749	0.078005272	0.074566805	0.138450661	0.026925233
105375624	1.078774278	1.447648575	0.799432733	2.049566516	1.994376844	2.519261463	1.506942349	0.823397994	6.451653639	4.163933537	2.350436605	2.617018169	1.961856451
105375614	0.003730137	0.009534502	0.006910606	0	0	0	0	0	0.023447094	0	0.005717651	0	0.004129159
105375556	0	0	0	0	0	0	0	0	0	0	0	0	0
105375483	0	0	0	0	0	0	0	0	0	0	0	0	0
105375475	0	0	0	0	0	0	7.575295542	0.853961127	0	1.886757404	0	0	2.676589562
105375451	0.104172546	0	0	0	0	0	0	0.038651651	0.03274067	0	0.039919602	0	0.057658074
105375448	0	0.024775368	0	0.026442451	0	0	0	0	0.024370874	0.031084808	0.118858365	0.036781379	0
